ldr_dc,ldr_db,ldr_ec,ldr_eb,az,el
617,8,0,0,0,150
615,4,0,1,0,150
615,3,0,2,0,150
613,5,0,0,0,150
612,10,0,5,0,150
613,4,0,2,0,150
615,3,0,0,0,150
615,4,2,4,0,150
616,4,0,0,0,150
617,4,0,0,0,150
617,0,0,3,0,150
617,5,0,0,0,150
618,5,0,2,0,150
619,4,0,1,0,150
619,1,0,1,0,150
617,2,0,2,0,150
617,0,0,6,0,150
616,2,0,2,0,150
617,3,0,5,0,150
616,5,0,1,0,150
617,4,0,0,0,150
617,4,5,2,0,150
615,5,0,3,0,150
617,1,0,2,0,150
617,5,0,10,0,150
616,2,0,4,0,150
616,5,1,6,0,150
615,4,0,4,0,150
615,7,0,2,0,150
615,3,0,4,0,150
613,3,0,2,0,150
612,5,0,0,0,150
613,4,0,3,0,150
613,2,0,2,0,150
611,1,2,3,0,150
605,5,0,3,0,150
605,0,0,6,0,150
603,2,0,0,0,150
603,3,0,2,0,150
601,5,0,2,0,150
601,0,1,1,0,150
599,3,0,5,0,150
601,8,0,4,0,150
597,3,0,0,0,150
597,0,0,4,0,150
595,7,0,3,0,150
591,2,0,3,0,150
595,2,0,7,0,150
593,9,0,0,0,150
590,3,0,2,0,150
591,4,0,4,0,150
589,2,0,0,0,150
591,9,1,0,0,150
590,5,0,2,0,150
589,7,0,5,0,150
588,4,0,5,0,150
587,6,0,0,0,150
587,3,0,2,0,150
585,3,0,3,0,150
585,4,0,6,0,150
585,7,0,0,0,150
583,3,0,4,0,150
585,9,0,3,0,150
585,3,0,0,0,150
585,2,0,3,0,150
583,3,0,3,0,150
583,11,2,1,0,150
583,5,0,0,0,150
585,0,0,9,0,150
586,4,0,3,0,150
587,0,1,0,0,150
585,1,0,0,0,150
587,8,0,3,0,150
585,4,0,3,0,150
587,3,0,5,0,150
583,2,0,2,0,150
581,7,3,5,0,150
584,5,0,5,0,150
589,3,0,2,0,150
589,4,0,0,0,150
587,3,0,4,0,150
585,2,0,0,0,150
589,2,2,1,0,150
587,2,0,0,0,150
585,4,5,2,0,150
587,6,0,2,0,150
585,2,0,1,0,150
582,0,0,0,0,150
581,5,0,4,0,150
580,4,0,0,0,150
580,6,2,1,0,150
572,1,0,4,0,150
567,1,5,6,0,150
563,2,0,2,0,150
563,0,2,3,0,150
563,5,0,3,0,150
569,2,0,3,0,150
581,2,0,3,0,150
584,4,2,3,0,150
579,5,0,0,0,150
581,4,0,0,0,150
575,4,0,3,0,150
581,0,1,0,0,150
579,5,0,0,0,150
581,6,0,2,0,150
581,2,0,0,0,150
584,7,0,2,0,150
582,4,0,5,0,150
583,5,0,5,0,150
579,3,0,2,0,150
574,2,0,7,0,150
573,3,0,6,0,150
579,0,0,7,0,150
580,17,0,0,0,150
573,0,0,0,0,150
565,5,0,0,0,150
585,1,0,0,0,150
581,2,0,1,0,150
583,5,0,0,0,150
575,6,0,2,0,150
575,0,0,4,0,150
573,4,0,1,0,150
580,1,0,1,0,150
575,3,0,0,0,150
579,2,0,22,0,150
573,2,0,3,0,150
573,1,0,7,0,150
573,3,0,0,0,150
574,4,0,2,0,150
573,1,0,2,0,150
575,0,1,10,0,150
573,2,3,2,0,150
581,10,3,5,0,150
582,6,0,3,0,150
583,0,0,0,0,150
581,0,0,1,0,150
579,0,0,0,0,150
580,4,0,0,0,150
576,6,0,0,0,150
575,1,0,3,0,150
579,0,0,6,0,150
573,7,0,0,0,150
579,3,0,0,0,150
573,0,0,1,0,150
570,3,0,1,0,150
568,2,0,4,0,150
579,3,0,3,0,150
576,5,0,4,0,150
581,1,0,0,0,150
581,4,10,0,0,150
580,4,40,3,0,150
580,3,99,0,0,150
575,3,159,9,0,150
581,17,217,18,0,150
579,10,265,30,0,150
579,9,300,43,0,150
583,20,341,53,0,150
575,23,361,67,0,150
580,18,382,73,0,150
573,33,395,94,0,150
583,41,399,132,0,150
575,51,391,175,0,150
583,66,366,263,0,150
583,83,344,378,0,150
584,93,309,499,1,150
585,109,264,639,2,150
589,111,227,773,3,150
591,107,187,892,4,149
597,105,165,1003,5,148
597,107,127,1111,6,147
599,107,99,1192,7,146
601,99,92,1257,8,145
605,99,62,1305,9,144
603,99,59,1335,10,143
605,91,54,1387,11,142
605,89,55,1395,12,141
607,100,47,1341,13,140
603,108,43,1318,14,139
602,109,59,1275,15,138
601,125,41,1256,16,137
603,135,51,1267,17,136
603,125,45,1279,18,135
605,127,45,1317,19,134
604,123,44,1337,20,133
605,125,30,1351,21,132
604,116,48,1359,22,131
611,116,53,1339,23,130
604,119,56,1344,24,129
604,127,61,1303,25,128
603,133,69,1274,26,127
603,143,72,1199,27,126
601,153,77,1147,28,125
599,165,87,1077,29,124
599,171,93,1039,30,123
598,173,107,985,31,122
597,185,119,933,32,121
595,189,137,873,33,120
591,191,155,812,34,119
594,191,165,775,35,118
590,192,167,728,36,117
590,198,191,695,36,116
587,191,181,667,36,116
589,183,166,649,36,116
589,188,187,621,36,116
588,181,203,601,36,116
587,189,201,585,36,116
587,175,207,559,36,116
587,167,211,543,36,116
585,168,206,529,36,116
585,171,218,518,36,117
584,169,205,501,36,118
584,167,210,491,36,119
583,175,211,491,36,120
583,168,211,493,36,121
583,155,210,503,36,122
583,167,210,517,36,123
583,165,203,523,36,123
582,166,191,539,36,123
585,169,189,550,36,123
587,164,187,562,36,123
585,169,191,571,36,123
587,168,196,581,36,123
587,169,191,595,36,123
587,173,203,611,36,123
587,169,203,617,36,123
585,170,207,617,36,123
586,171,204,619,36,123
586,170,207,617,36,123
585,173,207,623,36,123
585,172,203,623,36,123
585,175,203,628,36,123
585,174,199,628,36,123
587,179,190,631,36,123
587,181,189,629,36,123
585,183,185,627,36,123
587,187,187,619,36,123
587,185,187,619,36,123
585,183,195,611,36,123
585,170,187,596,36,123
585,187,189,589,36,123
585,187,189,588,36,123
586,183,196,583,36,123
584,181,200,573,36,123
585,183,191,567,36,123
583,179,197,559,36,123
584,179,191,553,36,123
583,175,197,549,36,123
583,173,189,539,36,123
583,172,198,533,36,123
583,168,201,525,36,123
583,171,197,519,36,123
581,169,191,519,36,123
581,167,199,509,36,124
582,167,199,507,36,125
581,167,195,505,36,126
579,157,190,508,36,127
575,165,184,507,36,127
573,155,159,505,36,127
583,153,169,495,36,128
581,149,169,487,36,129
579,147,159,477,36,130
579,139,154,471,36,131
575,137,153,469,36,132
575,134,155,455,36,133
579,123,151,439,35,134
573,121,151,408,34,135
573,117,149,389,33,136
573,112,147,373,32,137
575,115,143,358,31,138
573,115,147,339,30,139
579,109,148,317,29,140
573,111,141,314,28,141
573,109,138,303,27,142
571,107,139,287,26,143
571,105,135,283,25,144
573,105,125,280,24,145
575,105,124,285,23,146
573,109,127,283,22,147
573,109,137,296,21,148
574,109,124,301,20,149
572,109,128,301,19,150
571,111,133,313,18,150
574,111,135,312,17,150
573,115,133,318,16,150
573,111,139,328,15,150
575,118,147,343,14,150
573,121,152,355,13,150
573,122,160,358,12,150
579,125,167,367,11,150
575,134,171,376,10,150
579,142,173,381,9,150
575,147,181,403,8,150
573,154,183,393,7,150
575,159,185,415,6,150
581,163,184,428,5,150
575,169,185,435,4,150
579,167,183,443,3,150
575,169,185,445,2,150
581,171,185,445,1,150
580,169,188,453,0,150
580,170,184,441,0,150
575,166,189,455,0,150
579,166,187,455,0,150
575,166,187,458,0,150
575,169,187,460,0,150
575,165,185,461,0,150
579,170,187,469,0,150
580,173,183,459,0,150
580,173,185,458,0,150
579,168,185,463,0,150
582,171,181,455,0,150
580,165,183,455,0,150
583,171,182,445,0,150
579,169,185,461,0,150
580,171,190,453,0,150
580,157,197,452,0,150
581,169,189,453,0,150
573,171,199,451,0,150
581,175,189,447,0,150
581,167,186,459,0,150
581,175,181,463,0,150
581,172,167,473,0,150
582,173,165,483,0,150
581,175,158,494,0,150
583,180,160,499,0,150
583,182,159,509,0,150
585,185,167,522,0,150
587,185,169,525,0,150
587,185,166,531,0,150
585,186,168,532,0,150
585,187,182,533,0,150
587,189,169,526,0,150
587,187,173,532,0,150
587,189,173,524,0,150
586,184,175,519,0,150
585,186,175,509,0,150
587,188,179,507,0,150
588,181,182,503,0,150
587,183,182,503,0,150
587,183,183,494,0,150
587,183,185,500,0,150
588,187,186,501,0,150
588,183,187,501,0,150
589,184,187,495,0,150
587,185,189,495,0,150
587,181,183,493,0,150
587,181,183,495,0,150
587,187,185,483,0,150
588,187,185,479,0,150
585,187,185,473,0,150
587,199,183,472,0,150
587,197,191,466,0,150
586,201,181,459,0,150
587,200,175,457,0,150
588,207,181,451,0,150
585,207,186,445,0,150
587,212,176,443,0,150
587,218,173,438,0,150
588,219,181,435,0,150
587,227,179,431,0,150
589,225,173,425,0,150
587,229,174,423,0,150
587,233,172,423,0,150
587,243,173,419,0,150
588,243,173,410,0,150
587,249,170,409,0,150
589,253,171,407,0,150
589,253,169,403,0,150
589,265,169,399,0,150
589,263,171,399,0,150
589,267,165,391,0,150
589,271,167,379,0,150
589,275,169,379,0,150
588,277,166,373,0,150
589,281,160,377,0,150
589,283,165,365,0,150
589,285,165,377,0,150
589,291,159,375,0,150
591,299,160,373,0,150
589,294,157,376,0,150
590,296,155,367,0,150
593,298,155,373,0,150
593,300,153,373,0,150
590,303,155,375,0,150
591,307,155,373,0,150
591,303,155,376,0,150
595,308,154,365,0,150
591,310,153,384,0,150
595,301,157,374,0,150
595,302,157,371,0,150
595,301,159,378,0,150
591,301,158,363,0,150
597,297,159,379,0,150
595,295,157,377,0,150
598,301,159,375,0,150
597,299,155,379,0,150
597,302,164,375,0,150
597,301,163,375,0,150
597,299,163,377,0,150
597,295,167,381,0,150
597,285,168,403,0,150
596,283,173,391,0,150
600,279,175,391,0,150
599,279,181,391,0,150
601,275,179,393,0,150
599,270,183,399,0,150
600,275,175,395,0,150
599,271,175,405,0,150
599,276,171,409,0,150
598,269,171,415,0,150
599,271,165,423,0,150
601,270,165,429,0,150
601,277,155,431,0,150
602,281,151,441,0,150
603,285,141,445,0,150
603,291,137,457,0,150
603,293,137,457,0,150
601,307,133,457,0,150
604,311,125,457,0,150
604,317,118,463,0,150
605,326,117,461,0,150
604,328,115,469,0,150
605,339,93,483,0,149
604,341,109,475,0,148
607,346,105,472,0,147
606,349,107,470,0,146
612,355,109,471,0,145
608,357,105,473,0,144
610,361,107,475,0,143
611,361,114,475,0,142
611,364,111,479,0,141
612,357,115,475,0,140
615,362,115,473,0,139
613,363,109,477,0,138
616,359,118,471,0,138
613,363,111,466,0,137
615,365,115,470,0,136
616,367,111,463,0,135
617,365,115,461,0,135
615,367,116,463,0,135
616,367,111,469,0,134
615,367,115,467,0,133
617,373,119,469,0,132
617,375,116,469,0,131
619,375,119,463,0,131
618,373,121,457,0,131
617,378,119,444,0,131
618,374,121,457,0,131
621,373,117,455,0,131
619,371,117,466,0,131
621,363,117,444,0,131
619,363,115,473,0,130
619,361,116,479,0,129
619,353,111,469,0,129
622,357,115,461,0,129
619,357,111,459,0,129
629,357,117,471,0,129
623,361,121,461,0,129
627,356,120,478,0,129
623,351,119,477,0,129
627,355,117,499,0,128
623,359,111,487,0,127
627,356,120,493,0,126
627,365,121,487,0,125
628,359,119,487,0,125
629,361,127,479,0,125
629,358,123,487,0,125
627,360,119,489,0,124
631,361,119,492,0,123
631,357,121,488,0,123
632,365,119,492,0,122
631,382,111,482,0,121
633,367,120,483,0,121
632,365,127,477,0,121
634,364,123,477,0,121
634,365,121,476,0,121
635,363,125,487,0,121
633,359,124,493,0,121
635,361,125,503,0,120
637,363,123,509,0,119
637,359,121,529,0,118
637,351,123,523,0,117
639,351,125,525,0,116
639,351,133,521,0,116
645,357,125,518,0,115
645,356,119,504,0,115
646,363,119,506,0,114
646,367,125,507,0,113
648,367,119,505,0,112
649,367,115,500,0,111
647,373,119,499,0,110
647,375,110,493,0,109
649,377,115,486,0,109
651,379,119,479,0,109
651,377,119,483,0,109
651,383,115,473,0,109
651,383,115,475,0,109
651,379,115,475,0,109
653,381,109,477,0,109
653,389,108,479,0,108
655,381,109,477,0,108
654,382,111,457,0,108
658,375,111,463,0,108
659,374,115,461,0,108
659,377,120,462,0,108
659,373,111,467,0,108
659,376,115,472,0,108
660,371,119,477,0,108
661,371,115,479,0,108
662,363,117,487,0,108
663,363,117,489,0,108
663,361,105,489,0,108
664,364,122,486,0,108
667,355,115,485,0,108
667,358,125,485,0,108
665,361,127,487,0,108
667,361,133,483,0,108
674,357,125,483,0,108
671,358,127,483,0,108
671,360,136,479,0,108
671,360,135,481,0,108
671,363,133,477,0,108
671,361,125,479,0,108
671,365,135,479,0,108
675,360,133,482,0,108
678,364,134,485,0,108
679,357,134,489,0,108
677,365,123,489,0,108
678,359,124,487,0,108
679,362,115,491,0,108
681,359,121,502,0,108
683,359,115,505,0,108
683,357,116,523,0,108
684,357,116,535,0,108
687,364,110,554,0,107
687,347,101,567,0,106
687,351,100,574,0,105
687,341,75,583,0,104
693,343,105,604,0,103
693,343,103,607,0,102
696,342,102,605,0,101
695,339,99,604,0,100
699,339,93,605,0,99
700,333,88,596,0,98
701,339,98,598,0,97
700,343,93,593,0,96
701,326,88,595,0,95
703,334,91,591,0,94
